Beat_No,R_R_Interval,QRS_Duration,Label
1,0.84,0.088,Normal
2,0.82,0.076,Normal
3,0.832,0.064,Normal
4,0.436,0.068,Normal
5,1.212,0.092,Normal
6,0.824,0.08,Normal
7,0.824,0.08,Normal
8,0.804,0.088,Normal
9,0.796,0.088,Normal
10,0.772,0.072,Normal
11,0.78,0.092,Normal
12,0.772,0.064,Normal
13,0.756,0.092,Normal
14,0.792,0.088,Normal
15,0.824,0.084,Normal
16,0.784,0.084,Normal
17,0.788,0.088,Normal
18,0.792,0.084,Normal
19,0.772,0.084,Normal
20,0.78,0.096,Normal
21,0.788,0.076,Normal
22,0.768,0.076,Normal
23,0.772,0.084,Normal
24,0.788,0.084,Normal
25,0.776,0.068,Normal
26,0.772,0.064,Normal
27,0.78,0.076,Normal
28,0.772,0.084,Normal
29,0.796,0.088,Normal
30,0.792,0.088,Normal
31,0.784,0.068,Normal
32,0.792,0.068,Normal
33,0.78,0.064,Normal
34,0.764,0.08,Normal
35,0.808,0.068,Normal
36,0.372,0.084,Normal
37,0.732,0.06,Normal
38,0.844,0.068,Normal
39,1,0.072,Normal
40,0.36,0.064,Normal
41,0.26,0.064,Normal
42,3.128,0.052,Normal
43,0.836,0.064,Normal
44,0.824,0.072,Normal
45,0.812,0.032,Normal
46,0.804,0.076,Normal
47,0.78,0.084,Normal
48,0.436,0.068,Normal
49,1.148,0.068,Normal
50,0.756,0.08,Normal
51,0.764,0.088,Normal
52,0.764,0.056,Normal
53,0.772,0.088,Normal
54,0.8,0.068,Normal
55,0.828,0.076,Normal
56,0.812,0.064,Normal
57,0.8,0.088,Normal
58,0.78,0.056,Normal
59,0.788,0.072,Normal
60,0.8,0.084,Normal
61,0.804,0.088,Normal
62,0.456,0.084,Normal
63,1.136,0.064,Normal
64,0.744,0.084,Normal
65,0.784,0.068,Normal
66,0.36681,0.12155,Arrhythmia
67,0.48813,0.17431,Arrhythmia
68,0.20005,0.13693,Arrhythmia
69,0.32093,0.14124,Arrhythmia
70,0.2587,0.15933,Arrhythmia
71,0.23694,0.12427,Arrhythmia
72,0.2745,0.16593,Arrhythmia
73,0.33822,0.13174,Arrhythmia
74,0.35871,0.16714,Arrhythmia
75,0.41553,0.17598,Arrhythmia
76,0.36768,0.12819,Arrhythmia
77,0.47409,0.15312,Arrhythmia
78,0.28178,0.17555,Arrhythmia
79,0.55125,0.15313,Arrhythmia
80,0.21096,0.124,Arrhythmia
81,0.46819,0.16287,Arrhythmia
82,0.36692,0.1731,Arrhythmia
83,0.42348,0.16119,Arrhythmia
84,0.25615,0.19557,Arrhythmia
85,0.27924,0.16692,Arrhythmia
86,0.5203,0.19227,Arrhythmia
87,0.5873,0.131,Arrhythmia
88,0.32537,0.13114,Arrhythmia
89,0.47693,0.18459,Arrhythmia
90,0.55056,0.15181,Arrhythmia
91,1.5368,0.13323,Arrhythmia
92,1.051,0.1942,Arrhythmia
93,1.0234,0.14782,Arrhythmia
94,1.1019,0.18006,Arrhythmia
95,1.5269,0.17808,Arrhythmia
96,1.059,0.19066,Arrhythmia
97,1.2527,0.16989,Arrhythmia
98,1.5747,0.18008,Arrhythmia
99,1.3199,0.14791,Arrhythmia
100,1.4151,0.14159,Arrhythmia
101,1.1893,0.19167,Arrhythmia
102,1.4119,0.15425,Arrhythmia
103,1.5008,0.19719,Arrhythmia
104,1.011,0.17308,Arrhythmia
105,1.4501,0.16974,Arrhythmia
106,1.5933,0.12918,Arrhythmia
107,1.4489,0.19596,Arrhythmia
108,1.1683,0.15599,Arrhythmia
109,1.4736,0.16627,Arrhythmia
110,1.0619,0.15265,Arrhythmia
111,1.2687,0.13896,Arrhythmia
112,1.5452,0.19227,Arrhythmia
113,1.1762,0.16589,Arrhythmia
114,1.1727,0.12023,Arrhythmia
115,1.078,0.16937,Arrhythmia
